Year,Electoral college vote count,State,Census year reference,Census population
1792,0,Alabama,1790,0
1796,0,Alabama,1790,0
1800,0,Alabama,1790,0
1804,0,Alabama,1800,1250
1808,0,Alabama,1800,1250
1812,0,Alabama,1810,9046
1816,0,Alabama,1810,9046
1820,3,Alabama,1810,9046
1824,5,Alabama,1820,127901
1828,5,Alabama,1820,127901
1832,7,Alabama,1830,309527
1836,7,Alabama,1830,309527
1840,7,Alabama,1830,309527
1844,9,Alabama,1840,590756
1848,9,Alabama,1840,590756
1852,9,Alabama,1850,771623
1856,9,Alabama,1850,771623
1860,9,Alabama,1850,771623
1864,0,Alabama,1860,964201
1868,8,Alabama,1860,964201
1872,10,Alabama,1870,996992
1876,10,Alabama,1870,996992
1880,10,Alabama,1870,996992
1884,10,Alabama,1880,1262505
1888,10,Alabama,1880,1262505
1892,11,Alabama,1890,1513017
1896,11,Alabama,1890,1513017
1900,11,Alabama,1890,1513017
1904,11,Alabama,1900,1828697
1908,11,Alabama,1900,1828697
1912,12,Alabama,1910,2138093
1916,12,Alabama,1910,2138093
1920,12,Alabama,1910,2138093
1924,12,Alabama,1920,2348174
1928,12,Alabama,1920,2348174
1932,11,Alabama,1930,2646248
1936,11,Alabama,1930,2646248
1940,11,Alabama,1930,2646248
1944,11,Alabama,1940,2832961
1948,11,Alabama,1940,2832961
1952,11,Alabama,1950,3061743
1956,11,Alabama,1950,3061743
1960,11,Alabama,1950,3061743
1964,10,Alabama,1960,3266740
1968,10,Alabama,1960,3266740
1972,9,Alabama,1970,3444165
1976,9,Alabama,1970,3444165
1980,9,Alabama,1970,3444165
1984,9,Alabama,1980,3893888
1988,9,Alabama,1980,3893888
1992,9,Alabama,1990,4040587
1996,9,Alabama,1990,4040587
2000,9,Alabama,1990,4040587
2004,9,Alabama,2000,4447100
2008,9,Alabama,2000,4447100
2012,9,Alabama,2010,4779736
2016,9,Alabama,2010,4779736
2020,9,Alabama,2010,4779736
1792,0,Alaska,1790,0
1796,0,Alaska,1790,0
1800,0,Alaska,1790,0
1804,0,Alaska,1800,0
1808,0,Alaska,1800,0
1812,0,Alaska,1810,0
1816,0,Alaska,1810,0
1820,0,Alaska,1810,0
1824,0,Alaska,1820,0
1828,0,Alaska,1820,0
1832,0,Alaska,1830,0
1836,0,Alaska,1830,0
1840,0,Alaska,1830,0
1844,0,Alaska,1840,0
1848,0,Alaska,1840,0
1852,0,Alaska,1850,0
1856,0,Alaska,1850,0
1860,0,Alaska,1850,0
1864,0,Alaska,1860,0
1868,0,Alaska,1860,0
1872,0,Alaska,1870,0
1876,0,Alaska,1870,0
1880,0,Alaska,1870,0
1884,0,Alaska,1880,0
1888,0,Alaska,1880,0
1892,0,Alaska,1890,33426
1896,0,Alaska,1890,33426
1900,0,Alaska,1890,33426
1904,0,Alaska,1900,32052
1908,0,Alaska,1900,32052
1912,0,Alaska,1910,64356
1916,0,Alaska,1910,64356
1920,0,Alaska,1910,64356
1924,0,Alaska,1920,55036
1928,0,Alaska,1920,55036
1932,0,Alaska,1930,59278
1936,0,Alaska,1930,59278
1940,0,Alaska,1930,59278
1944,0,Alaska,1940,72524
1948,0,Alaska,1940,72524
1952,0,Alaska,1950,128643
1956,0,Alaska,1950,128643
1960,3,Alaska,1950,128643
1964,3,Alaska,1960,226167
1968,3,Alaska,1960,226167
1972,3,Alaska,1970,300382
1976,3,Alaska,1970,300382
1980,3,Alaska,1970,300382
1984,3,Alaska,1980,401851
1988,3,Alaska,1980,401851
1992,3,Alaska,1990,550043
1996,3,Alaska,1990,550043
2000,3,Alaska,1990,550043
2004,3,Alaska,2000,626932
2008,3,Alaska,2000,626932
2012,3,Alaska,2010,710231
2016,3,Alaska,2010,710231
2020,3,Alaska,2010,710231
1792,0,Arizona,1790,0
1796,0,Arizona,1790,0
1800,0,Arizona,1790,0
1804,0,Arizona,1800,0
