Year,State,Census population
1790,Alabama,0
1800,Alabama,1250
1810,Alabama,9046
1820,Alabama,127901
1830,Alabama,309527
1840,Alabama,590756
1850,Alabama,771623
1860,Alabama,964201
1790,Alaska,0
1800,Alaska,0
1810,Alaska,0
1820,Alaska,0
1830,Alaska,0
1840,Alaska,0
1850,Alaska,0
1860,Alaska,0
1790,American Samoa,0
1800,American Samoa,0
1810,American Samoa,0
1820,American Samoa,0
1830,American Samoa,0
1840,American Samoa,0
1850,American Samoa,0
1860,American Samoa,0
1790,Arizona,0
1800,Arizona,0
1810,Arizona,0
1820,Arizona,0
1830,Arizona,0
1840,Arizona,0
1850,Arizona,0
1860,Arizona,0
1790,Arkansas,0
1800,Arkansas,0
1810,Arkansas,1062
1820,Arkansas,14273
1830,Arkansas,30388
1840,Arkansas,97574
1850,Arkansas,209897
1860,Arkansas,435450
1790,California,0
1800,California,0
1810,California,0
1820,California,0
1830,California,0
1840,California,0
1850,California,92597
1860,California,379994
1790,Colorado,0
1800,Colorado,0
1810,Colorado,0
1820,Colorado,0
1830,Colorado,0
1840,Colorado,0
1850,Colorado,0
1860,Colorado,34277
1790,Connecticut,237946
1800,Connecticut,251002
1810,Connecticut,262042
1820,Connecticut,275202
1830,Connecticut,297675
1840,Connecticut,309978
1850,Connecticut,370792
1860,Connecticut,460147
1790,Delaware,59096
1800,Delaware,64273
1810,Delaware,72674
1820,Delaware,72749
1830,Delaware,76748
1840,Delaware,78085
1850,Delaware,91532
1860,Delaware,112216
1790,"Washington, D.C.",0
1800,"Washington, D.C.",8144
1810,"Washington, D.C.",15471
1820,"Washington, D.C.",23336
1830,"Washington, D.C.",30261
1840,"Washington, D.C.",33745
1850,"Washington, D.C.",51687
1860,"Washington, D.C.",75080
1790,Florida,0
1800,Florida,0
1810,Florida,0
1820,Florida,0
1830,Florida,34730
1840,Florida,54477
1850,Florida,87445
1860,Florida,140424
1790,Georgia (U.S. state),82548
1800,Georgia (U.S. state),162686
1810,Georgia (U.S. state),251407
1820,Georgia (U.S. state),340989
1830,Georgia (U.S. state),516823
1840,Georgia (U.S. state),691392
1850,Georgia (U.S. state),906185
1860,Georgia (U.S. state),1057286
1790,Guam,0
1800,Guam,0
1810,Guam,0
1820,Guam,0
1830,Guam,0
1840,Guam,0
1850,Guam,0
1860,Guam,0
1790,Hawaii,0
1800,Hawaii,0
1810,Hawaii,0
1820,Hawaii,0
1830,Hawaii,0
1840,Hawaii,0
1850,Hawaii,0
1860,Hawaii,0
1790,Idaho,0
1800,Idaho,0
1810,Idaho,0
1820,Idaho,0
1830,Idaho,0
1840,Idaho,0
1850,Idaho,0
1860,Idaho,0
1790,Illinois,0
1800,Illinois,2458
1810,Illinois,12282
1820,Illinois,55211
1830,Illinois,157445
1840,Illinois,476183
1850,Illinois,851470
1860,Illinois,1711951
1790,Indiana,0
1800,Indiana,2632
1810,Indiana,24520
1820,Indiana,147178
1830,Indiana,343031
1840,Indiana,685866
1850,Indiana,988416
1860,Indiana,1350428
1790,Iowa,0
1800,Iowa,0
1810,Iowa,0
1820,Iowa,0
1830,Iowa,0
1840,Iowa,43112
1850,Iowa,192214
1860,Iowa,674913
1790,Kansas,0
1800,Kansas,0
1810,Kansas,0
1820,Kansas,0
1830,Kansas,0
1840,Kansas,0
1850,Kansas,0
1860,Kansas,107206
1790,Kentucky,73677
1800,Kentucky,220959
1810,Kentucky,406511
1820,Kentucky,564317
1830,Kentucky,687917
1840,Kentucky,779828
1850,Kentucky,982405
1860,Kentucky,1155684
1790,Louisiana,0
1800,Louisiana,0
1810,Louisiana,76556
1820,Louisiana,153407
1830,Louisiana,215739
1840,Louisiana,352411
1850,Louisiana,517762
1860,Louisiana,708002
1790,Maine,96540
1800,Maine,151719
1810,Maine,228705
1820,Maine,298335
1830,Maine,399455
1840,Maine,501793
1850,Maine,583169
1860,Maine,628279
1790,Maryland,319728
1800,Maryland,341548
1810,Maryland,380546
1820,Maryland,407350
1830,Maryland,447040
1840,Maryland,470019
1850,Maryland,583034
1860,Maryland,687049
1790,Massachusetts,378787
1800,Massachusetts,422845
1810,Massachusetts,472040
1820,Massachusetts,523287
1830,Massachusetts,610408
1840,Massachusetts,737699
1850,Massachusetts,994514
1860,Massachusetts,1231066
1790,Michigan,0
1800,Michigan,3757
1810,Michigan,4762
1820,Michigan,7452
1830,Michigan,28004
1840,Michigan,212267
1850,Michigan,397654
1860,Michigan,749113
1790,Minnesota,0
1800,Minnesota,0
1810,Minnesota,0
1820,Minnesota,0
1830,Minnesota,0
1840,Minnesota,0
1850,Minnesota,6077
1860,Minnesota,172023
1790,Mississippi,0
1800,Mississippi,7600
1810,Mississippi,31306
1820,Mississippi,75448
1830,Mississippi,136621
1840,Mississippi,375651
1850,Mississippi,606526
1860,Mississippi,791305
1790,Missouri,0
1800,Missouri,0
1810,Missouri,19783
1820,Missouri,66586
1830,Missouri,140455
1840,Missouri,383702
1850,Missouri,682044
1860,Missouri,1182012
1790,Montana,0
1800,Montana,0
1810,Montana,0
1820,Montana,0
1830,Montana,0
1840,Montana,0
1850,Montana,0
1860,Montana,0
1790,Nebraska,0
1800,Nebraska,0
1810,Nebraska,0
1820,Nebraska,0
1830,Nebraska,0
1840,Nebraska,0
1850,Nebraska,0
1860,Nebraska,28841
1790,Nevada,0
1800,Nevada,0
1810,Nevada,0
1820,Nevada,0
1830,Nevada,0
1840,Nevada,0
1850,Nevada,0
1860,Nevada,6857
1790,New Hampshire,141885
1800,New Hampshire,183858
1810,New Hampshire,214360
1820,New Hampshire,244161
1830,New Hampshire,269328
1840,New Hampshire,284574
1850,New Hampshire,317976
1860,New Hampshire,326073
1790,New Jersey,184139
1800,New Jersey,211149
1810,New Jersey,245555
1820,New Jersey,277575
1830,New Jersey,320823
1840,New Jersey,373306
1850,New Jersey,489555
1860,New Jersey,672035
1790,New Mexico,0
1800,New Mexico,0
1810,New Mexico,0
1820,New Mexico,0
1830,New Mexico,0
1840,New Mexico,0
1850,New Mexico,61547
1860,New Mexico,87034
1790,New York (state),340120
1800,New York (state),586050
1810,New York (state),959049
1820,New York (state),1372812
1830,New York (state),1918608
1840,New York (state),2428921
1850,New York (state),3097394
1860,New York (state),3880735
1790,North Carolina,393751
1800,North Carolina,478103
1810,North Carolina,556526
1820,North Carolina,638829
1830,North Carolina,737987
1840,North Carolina,753419
1850,North Carolina,869039
1860,North Carolina,992622
1790,North Dakota,0
1800,North Dakota,0
1810,North Dakota,0
1820,North Dakota,0
1830,North Dakota,0
1840,North Dakota,0
1850,North Dakota,0
1860,North Dakota,0
1790,Northern Mariana Islands,0
1800,Northern Mariana Islands,0
1810,Northern Mariana Islands,0
1820,Northern Mariana Islands,0
1830,Northern Mariana Islands,0
1840,Northern Mariana Islands,0
1850,Northern Mariana Islands,0
1860,Northern Mariana Islands,0
1790,Ohio,0
