Link,1790,1800,1810,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010,2016 (est.),2017 (est.),2018 (est.),2019 (est.),2020 (est.),County,State
"https://en.wikipedia.org/wiki/Autauga_County,_Alabama",,,,"3,853","11,874","14,342","15,023","16,739","11,623","13,108","13,330","17,915","20,038","18,908","19,694","20,977","18,186","18,739","24,460","32,259","34,222","43,671","54,571",,,,"55,869",,Autauga County, Alabama
"https://en.wikipedia.org/wiki/Baldwin_County,_Alabama",,,"1,427","1,713","2,324","2,951","4,414","7,530","6,004","8,603","8,941","13,194","18,178","20,730","28,289","32,324","40,997","49,088","59,382","78,556","98,280","140,415","182,265",,,,"223,234",,Baldwin County, Alabama
"https://en.wikipedia.org/wiki/Barbour_County,_Alabama",,,,,,"12,024","23,632","30,812","29,309","33,979","34,898","35,152","32,728","32,067","32,425","32,722","28,892","24,700","22,543","24,756","25,417","29,038","27,457",,,,"24,686",,Barbour County, Alabama
"https://en.wikipedia.org/wiki/Bibb_County,_Alabama",,,,"3,676","6,306","8,284","9,969","11,894","7,469","9,487","13,824","18,498","22,791","23,144","20,780","20,155","17,987","14,357","13,812","15,723","16,576","20,826","22,915",,,,"22,394",,Bibb County, Alabama
"https://en.wikipedia.org/wiki/Blount_County,_Alabama",,,,"2,415","4,233","5,570","7,367","10,865","9,945","15,369","21,927","23,119","21,456","25,538","28,020","29,490","28,975","25,449","26,853","36,459","39,248","51,024","57,322",,,,"57,826",,Blount County, Alabama
"https://en.wikipedia.org/wiki/Bullock_County,_Alabama",,,,,,,,,"24,474","29,066","27,063","31,944","30,196","25,333","20,016","19,810","16,054","13,462","11,824","10,596","11,042","11,714","10,914",,,,"10,101",,Bullock County, Alabama
"https://en.wikipedia.org/wiki/Butler_County,_Alabama",,,,"1,405","5,650","8,685","10,836","18,122","14,981","19,649","21,641","25,761","29,030","29,531","30,195","32,447","29,228","24,560","22,007","21,680","21,892","21,399","20,947",,,,"19,448",,Butler County, Alabama
"https://en.wikipedia.org/wiki/Calhoun_County,_Alabama",,,,,,"14,260","17,163","21,539","13,980","19,591","33,835","34,874","39,115","47,822","55,611","63,319","79,539","95,878","103,092","119,761","116,034","112,249","118,572",,,,"113,605",,Calhoun County, Alabama
"https://en.wikipedia.org/wiki/Chambers_County,_Alabama",,,,,,"17,333","23,960","23,214","17,562","23,440","26,319","32,554","36,056","41,201","39,313","42,146","39,528","37,828","36,356","39,191","36,876","36,583","34,215",,,,"33,254",,Chambers County, Alabama
"https://en.wikipedia.org/wiki/Cherokee_County,_Alabama",,,,,,"8,773","13,884","18,360","11,132","19,108","20,459","21,096","20,226","20,862","20,219","19,928","17,634","16,303","15,606","18,760","19,543","23,988","25,989",,,,"26,196",,Cherokee County, Alabama
"https://en.wikipedia.org/wiki/Chilton_County,_Alabama",,,,,,,,,"6,194","10,793","14,549","16,522","23,187","22,770","24,579","27,955","26,922","25,693","25,180","30,612","32,458","39,593","43,643",,,,"44,428",,Chilton County, Alabama
"https://en.wikipedia.org/wiki/Choctaw_County,_Alabama",,,,,,,"8,389","13,877","12,676","15,731","17,526","18,136","18,483","20,753","20,513","20,195","19,152","17,870","16,589","16,839","16,018","15,922","13,859",,,,"12,589",,Choctaw County, Alabama
"https://en.wikipedia.org/wiki/Clarke_County,_Alabama",,,,"5,839","7,595","8,640","9,786","15,049","14,663","17,806","22,624","27,790","30,987","26,409","26,016","27,636","26,548","25,738","26,724","27,702","27,240","27,867","25,833",,,,"23,622",,Clarke County, Alabama
"https://en.wikipedia.org/wiki/Clay_County,_Alabama",,,,,,,,,"9,560","12,938","15,765","17,099","21,006","22,645","17,768","16,907","13,929","12,400","12,636","13,703","13,252","14,254","13,932",,,,"13,235",,Clay County, Alabama
"https://en.wikipedia.org/wiki/Cleburne_County,_Alabama",,,,,,,,,"8,017","10,976","13,218","13,206","13,385","13,360","12,877","13,629","11,904","10,911","10,996","12,595","12,730","14,123","14,972",,,,"14,910",,Cleburne County, Alabama
"https://en.wikipedia.org/wiki/Coffee_County,_Alabama",,,,,,,"5,940","9,623","6,171","8,119","12,170","20,972","26,119","30,070","32,556","31,987","30,720","30,583","34,872","38,533","40,240","43,615","49,948",,,,"52,342",,Coffee County, Alabama
"https://en.wikipedia.org/wiki/Colbert_County,_Alabama",,,,,,,,,"12,537","16,153","20,189","22,341","24,802","31,997","29,860","34,093","39,561","46,506","49,632","54,519","51,666","54,984","54,428",,,,"55,241",,Colbert County, Alabama
"https://en.wikipedia.org/wiki/Conecuh_County,_Alabama",,,,"5,713","7,444","8,197","9,322","11,311","9,574","12,605","14,594","17,514","21,433","24,593","25,429","25,489","21,776","17,762","15,645","15,884","14,054","14,089","13,228",,,,"12,067",,Conecuh County, Alabama
"https://en.wikipedia.org/wiki/Coosa_County,_Alabama",,,,,,"6,995","14,543","19,273","11,945","15,113","15,906","16,144","16,634","14,839","12,460","13,460","11,766","10,726","10,662","11,377","11,063","12,202","11,539",,,,"10,663",,Coosa County, Alabama
"https://en.wikipedia.org/wiki/Covington_County,_Alabama",,,,,"1,522","2,435","3,645","6,469","4,868","5,639","7,536","15,346","32,124","38,103","41,356","42,417","40,373","35,631","34,079","36,850","36,478","37,631","37,765",,,,"37,049",,Covington County, Alabama
"https://en.wikipedia.org/wiki/Crenshaw_County,_Alabama",,,,,,,,,"11,156","11,726","15,425","19,668","23,313","23,017","23,656","23,631","18,981","14,909","13,188","14,110","13,635","13,665","13,906",,,,"13,772",,Crenshaw County, Alabama
"https://en.wikipedia.org/wiki/Cullman_County,_Alabama",,,,,,,,,,"6,355","13,439","17,849","28,321","33,034","41,051","47,343","49,046","45,572","52,445","61,642","67,613","77,483","80,406",,,,"83,768",,Cullman County, Alabama
"https://en.wikipedia.org/wiki/Dale_County,_Alabama",,,,,"2,031","7,397","6,382","12,197","11,325","12,677","17,225","21,189","21,608","22,711","23,175","22,685","20,828","31,066","52,995","47,821","49,633","49,129","50,251",,,,"49,172",,Dale County, Alabama
"https://en.wikipedia.org/wiki/Dallas_County,_Alabama",,,,"6,003","14,017","25,199","29,727","33,625","40,705","48,433","49,350","54,657","53,401","54,697","55,094","55,245","56,270","56,667","55,296","53,981","48,130","46,365","43,820",,,,"37,196",,Dallas County, Alabama
"https://en.wikipedia.org/wiki/DeKalb_County,_Alabama",,,,,,"5,929","8,245","10,705","7,126","12,675","21,106","23,558","28,261","34,426","40,104","43,075","45,048","41,417","41,981","53,658","54,651","64,452","71,109",,,,"71,513",,DeKalb County, Alabama
"https://en.wikipedia.org/wiki/Elmore_County,_Alabama",,,,,,,,,"14,477","17,502","21,732","26,099","28,245","28,085","34,280","34,546","31,649","30,524","33,661","43,390","49,210","65,874","79,303",,,,"81,209",,Elmore County, Alabama
"https://en.wikipedia.org/wiki/Escambia_County,_Alabama",,,,,,,,,"4,041","5,719","8,666","11,320","18,889","22,464","27,963","30,671","31,443","33,511","34,912","38,440","35,518","38,440","38,319",,,,"36,633",,Escambia County, Alabama
"https://en.wikipedia.org/wiki/Etowah_County,_Alabama",,,,,,,,,"10,109","15,398","21,926","27,361","39,109","47,275","63,399","72,580","93,892","96,980","94,144","103,057","99,840","103,459","104,430",,,,"102,268",,Etowah County, Alabama
"https://en.wikipedia.org/wiki/Fayette_County,_Alabama",,,,,"3,547","6,942","9,681","12,850","7,136","10,135","12,823","14,132","16,248","18,365","18,443","21,651","19,388","16,148","16,252","18,809","17,962","18,495","17,241",,,,"16,302",,Fayette County, Alabama
"https://en.wikipedia.org/wiki/Franklin_County,_Alabama",,,,"4,988","11,078","14,270","19,610","18,627","8,006","9,155","10,681","16,511","19,369","22,011","25,372","27,552","25,705","21,988","23,933","28,350","27,814","31,223","31,704",,,,"31,362",,Franklin County, Alabama
"https://en.wikipedia.org/wiki/Geneva_County,_Alabama",,,,,,,,,"2,959","4,342","10,690","19,096","26,230","29,315","30,104","29,172","25,899","22,310","21,924","24,253","23,647","25,764","26,790",,,,"26,271",,Geneva County, Alabama
"https://en.wikipedia.org/wiki/Greene_County,_Alabama",,,,"4,554","15,026","24,024","31,441","30,859","18,399","21,931","22,007","24,182","22,717","18,133","19,745","19,185","16,482","13,600","10,650","11,021","10,153","9,974","9,045",,,,"8,111",,Greene County, Alabama
"https://en.wikipedia.org/wiki/Hale_County,_Alabama",,,,,,,,,"21,792","26,553","27,501","31,011","27,883","24,289","26,265","25,533","20,832","19,537","15,888","15,604","15,498","17,185","15,760",,,,"14,651",,Hale County, Alabama
"https://en.wikipedia.org/wiki/Henry_County,_Alabama",,,,"2,638","4,020","5,787","9,019","14,918","14,191","18,761","24,847","36,147","20,943","21,547","22,820","21,912","18,674","15,286","13,254","15,302","15,374","16,310","17,302",,,,"17,205",,Henry County, Alabama
"https://en.wikipedia.org/wiki/Houston_County,_Alabama",,,,,,,,,,,,,"32,414","37,334","45,935","45,665","46,522","50,718","56,574","74,632","81,331","88,787","101,547",,,,"105,882",,Houston County, Alabama
"https://en.wikipedia.org/wiki/Jackson_County,_Alabama",,,,"8,751","12,700","15,715","14,088","18,283","19,410","25,114","28,026","30,508","32,918","35,864","36,881","41,802","38,998","36,681","39,202","51,407","47,796","53,926","53,227",,,,"51,626",,Jackson County, Alabama
"https://en.wikipedia.org/wiki/Jefferson_County,_Alabama",,,,,"6,855","7,131","8,989","11,746","12,345","23,272","88,501","140,420","226,476","310,054","431,493","459,930","558,928","634,864","644,991","671,371","651,525","662,047","658,466",,,,"658,573",,Jefferson County, Alabama
"https://en.wikipedia.org/wiki/Lamar_County,_Alabama",,,,,,,,,"8,893","12,142","14,187","16,084","17,487","18,149","18,001","19,708","16,441","14,271","14,335","16,453","15,715","15,904","14,564",,,,"13,805",,Lamar County, Alabama
"https://en.wikipedia.org/wiki/Lauderdale_County,_Alabama",,,,"4,963","11,781","14,485","17,172","17,420","15,091","21,035","23,739","26,559","30,936","39,556","41,130","46,230","54,179","61,622","68,111","80,546","79,661","87,966","92,709",,,,"92,729",,Lauderdale County, Alabama
"https://en.wikipedia.org/wiki/Lawrence_County,_Alabama",,,,"8,652","14,984","13,313","15,258","13,975","16,658","21,392","20,725","20,124","21,984","24,307","26,942","27,880","27,128","24,501","27,281","30,170","31,513","34,803","34,339",,,,"32,924",,Lawrence County, Alabama
"https://en.wikipedia.org/wiki/Lee_County,_Alabama",,,,,,,,,"21,750","27,262","28,694","31,826","32,867","32,821","36,063","36,455","45,073","49,754","61,268","76,283","87,146","115,092","140,247",,,,"164,542",,Lee County, Alabama
"https://en.wikipedia.org/wiki/Limestone_County,_Alabama",,,,"9,871","14,807","14,374","16,483","15,306","15,017","21,600","21,201","22,387","26,880","31,341","36,629","35,642","35,766","36,513","41,699","46,005","54,135","65,676","82,782",,,,"98,915",,Limestone County, Alabama
"https://en.wikipedia.org/wiki/Lowndes_County,_Alabama",,,,,"9,410","19,539","21,915","27,716","25,719","31,176","31,550","35,651","31,894","25,406","22,878","22,661","18,018","15,417","12,897","13,253","12,658","13,473","11,299",,,,"9,726",,Lowndes County, Alabama
"https://en.wikipedia.org/wiki/Macon_County,_Alabama",,,,,,"11,247","26,898","26,802","17,727","17,371","18,439","23,126","26,049","23,561","27,103","27,654","30,561","26,717","24,841","26,829","24,928","24,105","21,452",,,,"18,068",,Macon County, Alabama
"https://en.wikipedia.org/wiki/Madison_County,_Alabama",,,"4,699","17,481","27,990","25,706","26,427","26,451","31,267","37,625","38,119","43,702","47,041","51,268","64,623","66,317","72,903","117,348","186,540","196,966","238,912","276,700","334,811",,,,"372,909",,Madison County, Alabama
"https://en.wikipedia.org/wiki/Marengo_County,_Alabama",,,,"2,933","7,700","17,264","27,831","31,171","26,151","30,890","33,095","38,315","39,923","36,065","36,426","35,736","29,494","27,098","23,819","25,047","23,084","22,539","21,027",,,,"18,863",,Marengo County, Alabama
"https://en.wikipedia.org/wiki/Marion_County,_Alabama",,,,,"4,058","5,847","7,833","11,182","6,059","9,364","11,347","14,494","17,495","22,008","25,967","28,776","27,264","21,837","23,788","30,041","29,830","31,214","30,776",,,,"29,709",,Marion County, Alabama
"https://en.wikipedia.org/wiki/Marshall_County,_Alabama",,,,,,"7,553","8,846","11,472","9,871","14,585","18,935","23,289","28,553","32,669","39,802","42,395","45,090","48,018","54,211","65,622","70,832","82,231","93,019",,,,"96,774",,Marshall County, Alabama
"https://en.wikipedia.org/wiki/Mobile_County,_Alabama",,,,"2,672","6,267","18,741","27,600","41,131","49,311","48,653","51,587","62,740","80,854","100,117","118,363","141,974","231,105","314,301","317,308","364,980","378,643","399,843","412,992",,,,"413,210",,Mobile County, Alabama
"https://en.wikipedia.org/wiki/Monroe_County,_Alabama",,,,"8,838","8,782","10,680","12,013","15,667","14,214","17,091","18,990","23,666","27,155","28,884","30,070","29,465","25,732","22,372","20,883","22,651","23,968","24,324","23,068",,,,"20,733",,Monroe County, Alabama
"https://en.wikipedia.org/wiki/Montgomery_County,_Alabama",,,,"6,604","12,695","24,574","29,711","35,904","43,704","52,356","56,172","72,047","82,178","80,853","98,671","114,420","138,965","169,210","167,790","197,038","209,085","223,510","229,363",,,,"226,486",,Montgomery County, Alabama
"https://en.wikipedia.org/wiki/Morgan_County,_Alabama",,,,"5,263","9,062","9,841","10,125","11,335","12,187","16,428","24,089","28,820","33,781","40,196","46,176","48,148","52,924","60,454","77,306","90,231","100,043","111,064","119,490",,,,"119,679",,Morgan County, Alabama
"https://en.wikipedia.org/wiki/Perry_County,_Alabama",,,,"3,646","11,490","19,086","22,285","27,724","24,975","30,741","29,332","31,783","31,222","25,373","26,385","26,610","20,439","17,358","15,388","15,012","12,759","11,861","10,591",,,,"8,923",,Perry County, Alabama
"https://en.wikipedia.org/wiki/Pickens_County,_Alabama",,,,,"6,622","17,118","21,512","22,316","17,690","21,479","22,470","24,402","25,055","25,353","24,902","27,671","24,349","21,882","20,326","21,481","20,699","20,949","19,746",,,,"19,930",,Pickens County, Alabama
"https://en.wikipedia.org/wiki/Pike_County,_Alabama",,,,,"7,108","10,108","15,920","24,435","17,423","20,640","24,423","29,172","30,815","31,631","32,240","32,493","30,608","25,987","25,038","28,050","27,595","29,605","32,899",,,,"33,114",,Pike County, Alabama
"https://en.wikipedia.org/wiki/Randolph_County,_Alabama",,,,,,"4,973","11,581","20,059","12,006","16,575","17,219","21,647","24,659","27,064","26,861","25,516","22,513","19,477","18,331","20,075","19,881","22,380","22,913",,,,"22,722",,Randolph County, Alabama
"https://en.wikipedia.org/wiki/Russell_County,_Alabama",,,,,,"13,513","19,548","26,592","21,636","24,837","24,093","27,083","25,937","27,448","27,377","35,775","40,364","46,351","45,394","47,356","46,860","49,756","52,947",,,,"57,961",,Russell County, Alabama
