Link,1790,1800,1810,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010,2016 (est.),2017 (est.),2018 (est.),2019 (est.),2020 (est.),County,State
"https://en.wikipedia.org/wiki/Autauga_County,_Alabama",,,,—,208.2%,20.8%,4.7%,11.4%,−30.6%,12.8%,1.7%,34.4%,11.9%,−5.6%,4.2%,6.5%,−13.3%,3.0%,30.5%,31.9%,6.1%,27.6%,25.0%,,,,2.4%,,Autauga County, Alabama
"https://en.wikipedia.org/wiki/Baldwin_County,_Alabama",,,—,20.0%,35.7%,27.0%,49.6%,70.6%,−20.3%,43.3%,3.9%,47.6%,37.8%,14.0%,36.5%,14.3%,26.8%,19.7%,21.0%,32.3%,25.1%,42.9%,29.8%,,,,22.5%,,Baldwin County, Alabama
"https://en.wikipedia.org/wiki/Barbour_County,_Alabama",,,,,,—,96.5%,30.4%,−4.9%,15.9%,2.7%,0.7%,−6.9%,−2.0%,1.1%,0.9%,−11.7%,−14.5%,−8.7%,9.8%,2.7%,14.2%,−5.4%,,,,−10.1%,,Barbour County, Alabama
"https://en.wikipedia.org/wiki/Bibb_County,_Alabama",,,,—,71.5%,31.4%,20.3%,19.3%,−37.2%,27.0%,45.7%,33.8%,23.2%,1.5%,−10.2%,−3.0%,−10.8%,−20.2%,−3.8%,13.8%,5.4%,25.6%,10.0%,,,,−2.3%,,Bibb County, Alabama
"https://en.wikipedia.org/wiki/Blount_County,_Alabama",,,,—,75.3%,31.6%,32.3%,47.5%,−8.5%,54.5%,42.7%,5.4%,−7.2%,19.0%,9.7%,5.2%,−1.7%,−12.2%,5.5%,35.8%,7.6%,30.0%,12.3%,,,,0.9%,,Blount County, Alabama
"https://en.wikipedia.org/wiki/Bullock_County,_Alabama",,,,,,,,,—,18.8%,−6.9%,18.0%,−5.5%,−16.1%,−21.0%,−1.0%,−19.0%,−16.1%,−12.2%,−10.4%,4.2%,6.1%,−6.8%,,,,−7.4%,,Bullock County, Alabama
"https://en.wikipedia.org/wiki/Butler_County,_Alabama",,,,—,302.1%,53.7%,24.8%,67.2%,−17.3%,31.2%,10.1%,19.0%,12.7%,1.7%,2.2%,7.5%,−9.9%,−16.0%,−10.4%,−1.5%,1.0%,−2.3%,−2.1%,,,,−7.2%,,Butler County, Alabama
"https://en.wikipedia.org/wiki/Calhoun_County,_Alabama",,,,,,—,20.4%,25.5%,−35.1%,40.1%,72.7%,3.1%,12.2%,22.3%,16.3%,13.9%,25.6%,20.5%,7.5%,16.2%,−3.1%,−3.3%,5.6%,,,,−4.2%,,Calhoun County, Alabama
"https://en.wikipedia.org/wiki/Chambers_County,_Alabama",,,,,,—,38.2%,−3.1%,−24.3%,33.5%,12.3%,23.7%,10.8%,14.3%,−4.6%,7.2%,−6.2%,−4.3%,−3.9%,7.8%,−5.9%,−0.8%,−6.5%,,,,−2.8%,,Chambers County, Alabama
"https://en.wikipedia.org/wiki/Cherokee_County,_Alabama",,,,,,—,58.3%,32.2%,−39.4%,71.6%,7.1%,3.1%,−4.1%,3.1%,−3.1%,−1.4%,−11.5%,−7.5%,−4.3%,20.2%,4.2%,22.7%,8.3%,,,,0.8%,,Cherokee County, Alabama
"https://en.wikipedia.org/wiki/Chilton_County,_Alabama",,,,,,,,,—,74.2%,34.8%,13.6%,40.3%,−1.8%,7.9%,13.7%,−3.7%,−4.6%,−2.0%,21.6%,6.0%,22.0%,10.2%,,,,1.8%,,Chilton County, Alabama
"https://en.wikipedia.org/wiki/Choctaw_County,_Alabama",,,,,,,—,65.4%,−8.7%,24.1%,11.4%,3.5%,1.9%,12.3%,−1.2%,−1.6%,−5.2%,−6.7%,−7.2%,1.5%,−4.9%,−0.6%,−13.0%,,,,−9.2%,,Choctaw County, Alabama
"https://en.wikipedia.org/wiki/Clarke_County,_Alabama",,,,—,30.1%,13.8%,13.3%,53.8%,−2.6%,21.4%,27.1%,22.8%,11.5%,−14.8%,−1.5%,6.2%,−3.9%,−3.1%,3.8%,3.7%,−1.7%,2.3%,−7.3%,,,,−8.6%,,Clarke County, Alabama
"https://en.wikipedia.org/wiki/Clay_County,_Alabama",,,,,,,,,—,35.3%,21.9%,8.5%,22.8%,7.8%,−21.5%,−4.8%,−17.6%,−11.0%,1.9%,8.4%,−3.3%,7.6%,−2.3%,,,,−5.0%,,Clay County, Alabama
"https://en.wikipedia.org/wiki/Cleburne_County,_Alabama",,,,,,,,,—,36.9%,20.4%,−0.1%,1.4%,−0.2%,−3.6%,5.8%,−12.7%,−8.3%,0.8%,14.5%,1.1%,10.9%,6.0%,,,,−0.4%,,Cleburne County, Alabama
"https://en.wikipedia.org/wiki/Coffee_County,_Alabama",,,,,,,—,62.0%,−35.9%,31.6%,49.9%,72.3%,24.5%,15.1%,8.3%,−1.7%,−4.0%,−0.4%,14.0%,10.5%,4.4%,8.4%,14.5%,,,,4.8%,,Coffee County, Alabama
"https://en.wikipedia.org/wiki/Colbert_County,_Alabama",,,,,,,,,—,28.8%,25.0%,10.7%,11.0%,29.0%,−6.7%,14.2%,16.0%,17.6%,6.7%,9.8%,−5.2%,6.4%,−1.0%,,,,1.5%,,Colbert County, Alabama
"https://en.wikipedia.org/wiki/Conecuh_County,_Alabama",,,,—,30.3%,10.1%,13.7%,21.3%,−15.4%,31.7%,15.8%,20.0%,22.4%,14.7%,3.4%,0.2%,−14.6%,−18.4%,−11.9%,1.5%,−11.5%,0.2%,−6.1%,,,,−8.8%,,Conecuh County, Alabama
"https://en.wikipedia.org/wiki/Coosa_County,_Alabama",,,,,,—,107.9%,32.5%,−38.0%,26.5%,5.2%,1.5%,3.0%,−10.8%,−16.0%,8.0%,−12.6%,−8.8%,−0.6%,6.7%,−2.8%,10.3%,−5.4%,,,,−7.6%,,Coosa County, Alabama
"https://en.wikipedia.org/wiki/Covington_County,_Alabama",,,,,—,60.0%,49.7%,77.5%,−24.7%,15.8%,33.6%,103.6%,109.3%,18.6%,8.5%,2.6%,−4.8%,−11.7%,−4.4%,8.1%,−1.0%,3.2%,0.4%,,,,−1.9%,,Covington County, Alabama
"https://en.wikipedia.org/wiki/Crenshaw_County,_Alabama",,,,,,,,,—,5.1%,31.5%,27.5%,18.5%,−1.3%,2.8%,−0.1%,−19.7%,−21.5%,−11.5%,7.0%,−3.4%,0.2%,1.8%,,,,−1.0%,,Crenshaw County, Alabama
"https://en.wikipedia.org/wiki/Cullman_County,_Alabama",,,,,,,,,,—,111.5%,32.8%,58.7%,16.6%,24.3%,15.3%,3.6%,−7.1%,15.1%,17.5%,9.7%,14.6%,3.8%,,,,4.2%,,Cullman County, Alabama
"https://en.wikipedia.org/wiki/Dale_County,_Alabama",,,,,—,264.2%,−13.7%,91.1%,−7.1%,11.9%,35.9%,23.0%,2.0%,5.1%,2.0%,−2.1%,−8.2%,49.2%,70.6%,−9.8%,3.8%,−1.0%,2.3%,,,,−2.1%,,Dale County, Alabama
"https://en.wikipedia.org/wiki/Dallas_County,_Alabama",,,,—,133.5%,79.8%,18.0%,13.1%,21.1%,19.0%,1.9%,10.8%,−2.3%,2.4%,0.7%,0.3%,1.9%,0.7%,−2.4%,−2.4%,−10.8%,−3.7%,−5.5%,,,,−15.1%,,Dallas County, Alabama
"https://en.wikipedia.org/wiki/DeKalb_County,_Alabama",,,,,,—,39.1%,29.8%,−33.4%,77.9%,66.5%,11.6%,20.0%,21.8%,16.5%,7.4%,4.6%,−8.1%,1.4%,27.8%,1.9%,17.9%,10.3%,,,,0.6%,,DeKalb County, Alabama
"https://en.wikipedia.org/wiki/Elmore_County,_Alabama",,,,,,,,,—,20.9%,24.2%,20.1%,8.2%,−0.6%,22.1%,0.8%,−8.4%,−3.6%,10.3%,28.9%,13.4%,33.9%,20.4%,,,,2.4%,,Elmore County, Alabama
"https://en.wikipedia.org/wiki/Escambia_County,_Alabama",,,,,,,,,—,41.5%,51.5%,30.6%,66.9%,18.9%,24.5%,9.7%,2.5%,6.6%,4.2%,10.1%,−7.6%,8.2%,−0.3%,,,,−4.4%,,Escambia County, Alabama
"https://en.wikipedia.org/wiki/Etowah_County,_Alabama",,,,,,,,,—,52.3%,42.4%,24.8%,42.9%,20.9%,34.1%,14.5%,29.4%,3.3%,−2.9%,9.5%,−3.1%,3.6%,0.9%,,,,−2.1%,,Etowah County, Alabama
"https://en.wikipedia.org/wiki/Fayette_County,_Alabama",,,,,—,95.7%,39.5%,32.7%,−44.5%,42.0%,26.5%,10.2%,15.0%,13.0%,0.4%,17.4%,−10.5%,−16.7%,0.6%,15.7%,−4.5%,3.0%,−6.8%,,,,−5.4%,,Fayette County, Alabama
"https://en.wikipedia.org/wiki/Franklin_County,_Alabama",,,,—,122.1%,28.8%,37.4%,−5.0%,−57.0%,14.4%,16.7%,54.6%,17.3%,13.6%,15.3%,8.6%,−6.7%,−14.5%,8.8%,18.5%,−1.9%,12.3%,1.5%,,,,−1.1%,,Franklin County, Alabama
"https://en.wikipedia.org/wiki/Geneva_County,_Alabama",,,,,,,,,—,46.7%,146.2%,78.6%,37.4%,11.8%,2.7%,−3.1%,−11.2%,−13.9%,−1.7%,10.6%,−2.5%,9.0%,4.0%,,,,−1.9%,,Geneva County, Alabama
"https://en.wikipedia.org/wiki/Greene_County,_Alabama",,,,—,230.0%,59.9%,30.9%,−1.9%,−40.4%,19.2%,0.3%,9.9%,−6.1%,−20.2%,8.9%,−2.8%,−14.1%,−17.5%,−21.7%,3.5%,−7.9%,−1.8%,−9.3%,,,,−10.3%,,Greene County, Alabama
